,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
72,Nanakuli,1,US,1549324620,65,21.39,-158.15,80.06,18.34
73,Okhotsk,44,RU,1549326643,100,59.36,143.24,1.82,4.18
74,Sucua,75,EC,1549321200,88,-2.46,-78.17,73.4,5.82
75,Ondjiva,20,AO,1549326644,89,-17.07,15.73,66.85,4.18
76,Dingle,68,PH,1549326644,86,11,122.67,74.99,9.78
77,Maebaru,0,JP,1549324800,75,33.55,130.2,42.8,2.24
78,Portsmouth,90,GB,1549324200,95,50.8,-1.08,33.8,3.36
79,Kahului,40,US,1549324560,60,20.89,-156.47,80.96,18.34
80,Santa Cruz,90,US,1549324800,79,36.97,-122.03,50,12.75
81,Mondlo,92,ZA,1549326647,94,-27.96,30.72,61.18,3.62
82,Huarmey,12,PE,1549326648,77,-10.07,-78.15,73.42,3.74
83,Cape Town,0,ZA,1549324800,93,-33.93,18.42,64.4,12.75
84,Batemans Bay,92,AU,1549326648,97,-35.71,150.18,69.46,7.65
85,Iqaluit,40,CA,1549324800,77,63.75,-68.52,1.4,13.87
86,Talnakh,36,RU,1549326649,32,69.49,88.39,-21.72,2.28
87,Lebu,8,ET,1549326649,74,8.96,38.73,40.48,3.06
88,Waipawa,0,NZ,1549326649,50,-39.94,176.59,78.05,14.81
89,Jalu,0,LY,1549326650,73,29.03,21.55,54.07,13.69
90,Taoudenni,24,ML,1549326650,17,22.68,-3.98,53.35,13.91
91,Kavaratti,0,IN,1549326650,100,10.57,72.64,82.78,13.8
92,Vestmanna,0,FO,1549324200,79,62.16,-7.17,28.4,1.12
93,Marseille,0,FR,1549324800,80,43.3,5.37,39.2,3.36
94,Atuona,32,PF,1549326651,100,-9.8,-139.03,81.97,18.28
95,Burnie,88,AU,1549326651,97,-41.05,145.91,65.54,20.07
96,Guanica,1,PR,1549324200,73,17.97,-66.91,73.4,7.99
97,Mrakovo,36,RU,1549326652,74,52.72,56.62,0.16,7.43
98,Qaanaaq,0,GL,1549326652,80,77.48,-69.36,-13.3,8.66
99,Carutapera,80,BR,1549326653,89,-1.2,-46.02,79.99,7.76
100,Torbay,90,CA,1549324800,92,47.66,-52.73,24.8,16.11
101,Abancay,92,PE,1549326653,72,-13.64,-72.88,49.21,1.95
102,Antalaha,76,MG,1549326653,98,-14.9,50.28,76.07,3.18
103,Yantai,0,CN,1549326654,94,37.53,121.39,39.58,19.28
104,Lazaro Cardenas,40,MX,1549323900,25,28.39,-105.62,73.4,14.99
105,Amga,56,RU,1549326654,44,60.89,131.98,-28.29,3.51
106,Khatanga,56,RU,1549326655,76,71.98,102.47,-11.19,11.12
107,Antsohihy,44,MG,1549326655,98,-14.88,47.99,73.6,4.97
108,Port Alfred,68,ZA,1549326655,96,-33.59,26.89,66.49,13.02
109,Dikson,36,RU,1549326656,78,73.51,80.55,0.16,17.27
110,Umm Kaddadah,0,SD,1549326656,36,13.6,26.69,67.79,8.55
111,Solnechnyy,24,RU,1549326656,63,50.72,136.64,-14.07,2.17
112,Mayo,40,CA,1549324800,69,63.59,-135.9,-13.01,3.62
113,Salmo,20,CA,1549326660,66,49.19,-117.28,14.29,1.95
114,Monrovia,20,LR,1549324800,94,6.33,-10.8,73.4,5.19
115,Noumea,90,NC,1549324800,69,-22.28,166.46,82.4,18.34
116,Codrington,75,AU,1549321200,69,-28.95,153.24,84.2,9.17
117,Imbituba,40,BR,1549324800,64,-28.24,-48.67,73.4,4.7
118,Chara,40,GR,1549324200,87,39.42,22.43,51.8,9.17
119,Aykino,44,RU,1549326665,67,62.22,49.99,-9.03,14.47
120,Gat,68,SN,1549324800,60,14.69,-16.54,68,4.7
121,Hearst,88,CA,1549326665,59,49.69,-83.67,-6.78,8.21
122,Hervey Bay,90,AU,1549321200,78,-25.3,152.85,77,19.46
123,Visnes,90,NO,1549326000,93,59.36,5.22,39.2,10.29
124,Hofn,92,IS,1549326666,100,64.25,-15.21,33.64,14.81
125,Takaka,44,NZ,1549326667,78,-40.86,172.81,69.95,10.11
126,Samarai,20,PG,1549326667,93,-10.62,150.67,87.5,8.43
127,Cabo San Lucas,40,MX,1549323900,47,22.89,-109.91,77,9.17
128,Adrar,0,DZ,1549324800,35,27.87,-0.29,42.8,5.82
129,Faanui,24,PF,1549326668,100,-16.48,-151.75,82.69,10.56
130,Vynohradivka,88,UA,1549326668,94,50.01,27.94,29.32,6.2
131,Nome,40,US,1549325700,88,30.04,-94.42,71.24,3.36
132,Zholymbet,88,KZ,1549326669,83,51.74,71.71,-2.55,14.14
133,Kaitangata,92,NZ,1549326414,100,-46.28,169.85,55.96,13.47
134,Clyde River,75,CA,1549321200,69,70.47,-68.59,-9.41,16.11
135,Quatre Cocos,40,MU,1549324800,94,-20.21,57.76,80.6,8.99
136,Chuy,0,UY,1549326670,88,-33.69,-53.46,64.42,7.43
137,Gizo,0,IL,1549326000,42,31.8,34.94,64.4,4.7
138,Kavieng,76,PG,1549326671,100,-2.57,150.8,81.52,12.57
139,Csenger,36,RO,1549323000,100,47.84,22.68,37.4,2.84
140,Port Hueneme,90,US,1549324500,71,34.15,-119.2,57.02,6.93
141,Pisco,0,PE,1549324800,78,-13.71,-76.2,77,11.41
142,Storforshei,32,NO,1549326672,85,66.4,14.52,-7.45,2.39
143,Carnarvon,0,ZA,1549326672,66,-30.97,22.13,59.92,10.67
144,Nishihara,75,JP,1549324800,41,35.74,139.53,42.8,6.93
145,Geraldton,90,CA,1549324800,69,49.72,-86.95,-11.21,9.17
146,Lagoa,0,PT,1549323000,81,37.14,-8.45,44.6,3.36
147,Moron,20,VE,1549324800,69,10.49,-68.2,78.8,2.06
148,Muros,90,ES,1549324800,100,42.77,-9.06,48.2,5.82
149,Nyzhni Petrivtsi,40,UA,1549323000,93,48.04,25.74,35.6,10.29
150,Sao Joao da Barra,92,BR,1549326675,100,-21.64,-41.05,78.77,14.58
151,Husavik,44,CA,1549326675,72,50.56,-96.99,-10.74,13.24
152,Sioux Lookout,88,CA,1549325820,76,50.1,-91.92,-4.01,10.29
153,Sydney,75,AU,1549324800,69,-33.85,151.22,80.6,10.29
154,Georgetown,40,GY,1549324800,88,6.8,-58.16,78.8,9.17
155,Cherskiy,20,RU,1549326677,46,68.75,161.3,-28.74,2.39
156,Redcar,0,GB,1549324200,92,54.62,-1.06,33.8,2.24
157,Sitka,0,US,1549326677,49,37.17,-99.65,48.17,12.01
158,Ardakan,0,IR,1549324800,73,32.31,54.02,32,2.95
159,Mahebourg,40,MU,1549324800,94,-20.41,57.7,80.6,8.99
160,Mandera,0,ET,1549326678,42,3.94,41.86,72.52,7.2
161,Zhongshu,0,CN,1549326679,42,24.52,103.77,46.06,7.65
162,Astana,90,KZ,1549324800,91,51.13,71.43,3.2,13.42
163,Ilulissat,0,GL,1549324200,41,69.22,-51.1,19.4,18.34
164,Tuktoyaktuk,90,CA,1549321200,84,69.44,-133.03,-2.21,17.22
165,Pringsewu,0,ID,1549326680,93,-5.36,104.98,74.23,2.73
166,Avera,1,US,1549324500,74,33.19,-82.53,64.94,2.73
167,Zaltan,92,LY,1549326681,100,32.95,11.87,50.87,27.45
168,Longyearbyen,20,NO,1549324200,68,78.22,15.63,28.4,2.24
169,Cape Girardeau,90,US,1549324500,86,37.31,-89.52,62.6,9.17
170,Hithadhoo,92,MV,1549326682,100,-0.6,73.08,83.41,11.12
171,High Level,20,CA,1549324800,62,58.52,-117.13,-14.81,5.82
172,Casas Grandes,32,MX,1549326686,82,30.15,-110.24,56.59,2.73
173,Porto Novo,75,BR,1549324800,82,-23.68,-45.44,66.2,3.36
174,Banda Aceh,44,ID,1549326686,100,5.56,95.32,74.5,1.83
175,Celestun,24,MX,1549326687,92,20.87,-90.4,76.39,17.6
176,Bodden Town,20,KY,1549321200,78,19.28,-81.25,80.6,11.41
177,El Alto,75,BO,1549324800,76,-16.5,-68.19,48.2,6.93
178,Constitucion,40,MX,1549324020,18,23.99,-104.67,69.8,18.34
179,Port Lincoln,48,AU,1549326688,84,-34.72,135.86,69.19,18.16
180,Naryan-Mar,8,RU,1549326688,54,67.67,53.09,-18.12,17.38
181,Nelson Bay,40,AU,1549324800,58,-32.72,152.14,84.2,8.05
182,Kez,0,RU,1549326689,67,57.9,53.72,-14.7,13.47
183,Mountain Home,1,US,1549324380,70,43.13,-115.69,44.06,19.46
184,Vila do Maio,75,CV,1549324800,72,15.13,-23.22,68,13.87
185,Woodstock,90,CA,1549325640,93,43.13,-80.75,50,14.99
186,Avarua,92,CK,1549326690,100,-21.21,-159.78,74.09,5.19
187,Narsaq,80,GL,1549324200,67,60.91,-46.05,23,3.36
188,Sao Felix do Xingu,8,BR,1549326691,91,-6.64,-51.99,77.83,2.39
189,Pozoblanco,0,ES,1549324800,93,38.38,-4.85,37.4,1.12
190,Farafangana,88,MG,1549326692,95,-22.82,47.83,80.12,10.11
191,Marawi,32,PH,1549326692,93,8,124.29,71.3,3.18
192,Axim,0,GH,1549326692,97,4.87,-2.24,82.96,10
193,Mendi,0,ET,1549326693,56,9.8,35.1,52.45,2.95
194,Kodiak,1,US,1549325700,57,39.95,-94.76,23,12.75
195,Sikasso,8,ML,1549326693,49,11.32,-5.68,69.55,5.41
196,Huilong,92,CN,1549326694,96,28.89,110.18,38.99,2.51
197,Deputatskiy,0,RU,1549326694,0,69.3,139.9,-60.42,2.73
198,Wawa,56,NG,1549326694,49,9.9,4.41,72.2,3.62
199,Aklavik,90,CA,1549324800,70,68.22,-135.01,-2.21,9.17
200,Areka,12,ET,1549326698,48,7.07,37.71,56.23,6.87
201,San Patricio,0,PY,1549326699,56,-26.98,-56.83,75.4,5.64
202,Anadyr,75,RU,1549324800,85,64.73,177.51,10.4,6.71
203,Saint-Philippe,90,CA,1549325700,100,45.36,-73.48,29.66,8.05
204,Darab,0,IR,1549326700,65,28.75,54.55,22.84,2.17
205,Port-Gentil,20,GA,1549321200,94,-0.72,8.78,78.8,2.24
206,Namatanai,80,PG,1549326700,100,-3.66,152.44,80.71,9.78
207,Fairbanks,90,US,1549324680,93,64.84,-147.72,15.44,3.36
208,Salto,0,UY,1549326701,69,-31.39,-57.96,68.83,10.67
209,Juneau,90,US,1549324560,80,58.3,-134.42,24.98,3.36
210,Saint Anthony,90,US,1549324800,69,43.97,-111.68,37.94,10.29
211,Kieta,44,PG,1549326702,97,-6.22,155.63,83.68,3.18
212,Nouadhibou,68,MR,1549324800,88,20.93,-17.03,62.6,13.87
213,Palmerston North,0,NZ,1549326703,63,-40.35,175.62,74,15.93
214,Ilhabela,88,BR,1549326703,100,-23.78,-45.36,76.21,10.78
215,Carupano,0,VE,1549326703,82,10.67,-63.26,79.22,12.68
216,Ponta do Sol,24,BR,1549326704,88,-20.63,-46,70.49,6.64
217,Jardim,8,BR,1549326704,74,-21.48,-56.15,78.91,5.75
218,Masalli,1,KR,1549326000,73,35.34,128.62,33.8,2.24
219,Kayerkan,32,RU,1549326705,56,69.35,87.76,-19.02,2.73
220,Marsa Matruh,0,EG,1549321200,93,31.35,27.25,51.8,6.93
221,Leh,76,IN,1549326706,80,34.16,77.58,-7,0.72
222,Santa Maria,20,BR,1549321200,73,-29.69,-53.81,69.8,6.93
223,Luderitz,0,NA,1549326708,71,-26.65,15.16,63.65,19.51
224,Muyezerskiy,92,RU,1549326708,91,63.93,31.65,12.22,2.62
225,Arkhara,24,RU,1549326708,54,49.42,130.09,-18.88,6.53
226,Port Blair,0,IN,1549326708,100,11.67,92.75,80.8,12.24
227,Djougou,0,BJ,1549324800,36,9.71,1.67,78.8,4.7
228,Teocelo,0,MX,1549326709,48,19.39,-96.97,65.68,1.61
229,Goderich,92,CA,1549326709,97,43.74,-81.71,42.59,22.08
230,Norman Wells,90,CA,1549321200,62,65.28,-126.83,-13.01,13.87
231,Erzin,0,TR,1549324200,76,36.95,36.2,51.8,11.41
232,Nsunga,8,TZ,1549326711,79,-1.13,31.39,59.42,2.62
233,Melendugno,40,IT,1549324500,93,40.27,18.34,57.2,3.36
234,Alofi,75,NU,1549321200,74,-19.06,-169.92,84.2,17.22
235,Teguldet,24,RU,1549326711,77,57.31,88.17,-37.74,2.95
236,Acapulco,5,MX,1549323780,74,16.86,-99.88,80.6,8.05
237,Akhmim,0,EG,1549321200,58,26.56,31.74,57.2,3.36
238,Ginda,40,IN,1549324800,93,30.69,78.49,48.2,3.36
239,Buchanan,20,LR,1549324800,94,5.88,-10.05,73.4,3.96
240,North Myrtle Beach,1,US,1549324560,71,33.83,-78.68,59.9,11.34
241,Invermere,32,CA,1549326714,54,50.51,-116.03,5.74,1.95
242,Silvania,75,CO,1549324800,93,4.4,-74.39,57.2,2.24
243,Kendari,76,ID,1549326715,98,-3.99,122.52,74.99,3.74
244,Kirkwood,0,ZA,1549324800,88,-33.4,25.44,62.6,4.7
245,Lakatoro,24,VU,1549326716,89,-16.11,167.42,83.59,5.19
246,Natal,40,BR,1549324800,78,-5.81,-35.21,82.4,5.82
247,Kudahuvadhoo,92,MV,1549326716,100,2.67,72.89,82.19,13.02
248,Saint-Joseph,0,FR,1549324800,69,43.56,6.97,46.4,5.82
249,Laja,90,CL,1549324800,87,-37.28,-72.71,60.8,4.7
250,Phangnga,20,TH,1549324800,83,8.45,98.53,77,4.7
251,Daytona Beach,40,US,1549324500,100,29.21,-81.02,60.08,5.82
252,Kenai,40,US,1549324560,87,60.55,-151.26,26.96,8.05
253,Zambezi,20,ZM,1549326718,97,-13.55,23.12,65.86,7.87
254,Kovdor,80,RU,1549326719,73,67.56,30.47,0.43,6.2
255,Iisalmi,0,FI,1549326000,84,63.56,27.19,6.8,9.17
256,Katsuura,20,JP,1549324800,70,33.93,134.5,42.8,6.93
257,Grindavik,75,IS,1549324800,86,63.84,-22.43,33.8,19.46
258,Pevek,80,RU,1549326720,100,69.7,170.27,-14.34,3.4
259,San Miguel,0,AR,1549324800,49,-34.54,-58.72,73.4,5.82
260,Rome,0,IT,1549326000,75,41.89,12.48,48.2,5.82
261,Roald,0,NO,1549324200,74,62.58,6.12,30.2,9.17
262,Tual,56,ID,1549326722,100,-5.67,132.75,82.64,13.69
263,New Waterford,90,US,1549324560,54,40.85,-80.61,55.94,5.82
264,Paramonga,20,PE,1549326425,99,-10.68,-77.82,73.6,8.1
265,Nikolskoye,75,RU,1549324800,79,59.7,30.79,23,11.18
266,Golden,20,CA,1549324800,65,51.3,-116.96,3.2,3.36
267,Vila Franca do Campo,75,PT,1549323000,93,37.72,-25.43,62.6,14.99
268,Souillac,90,FR,1549324800,100,45.6,-0.6,39.2,6.93
269,Waingapu,88,ID,1549326725,100,-9.65,120.26,76.75,6.64
270,Pangnirtung,75,CA,1549321200,41,66.15,-65.72,19.4,8.05
271,Vao,64,EE,1549326725,89,59.1,26.19,20.95,9.78
272,Haapiti,75,PF,1549324800,70,-17.57,-149.87,87.8,11.41
273,Bitung,20,ID,1549324800,74,1.44,125.19,82.4,3.36
274,East London,92,ZA,1549326726,100,-33.02,27.91,69.73,22.19
275,Finschhafen,0,PG,1549326727,67,-6.6,147.85,85.7,2.06
276,Skoczow,24,PL,1549324800,92,49.8,18.79,26.6,2.24
277,Loa Janan,92,ID,1549326727,100,-0.58,117.09,74.41,2.95
278,Tsabong,0,BW,1549326727,34,-26.02,22.4,67.3,9.66
279,Aljezur,32,PT,1549326728,100,37.31,-8.8,51.95,9.44
280,Mamakan,36,RU,1549326728,74,57.82,114.02,-38.68,2.84
281,Tateyama,75,JP,1549324800,75,36.66,137.31,41,2.06
282,Touros,40,BR,1549324800,83,-5.2,-35.46,82.4,6.93
283,Pathein,0,MM,1549326729,94,16.78,94.73,65.77,4.97
284,Leningradskiy,48,RU,1549326729,83,69.38,178.42,-8.8,1.72
285,Bintulu,75,MY,1549324800,100,3.17,113.03,77,2.28
286,Laguna,75,MX,1549323780,41,27.52,-110.01,77,5.82
287,Sibu,75,MY,1549324800,100,2.29,111.83,77,2.24
288,Padang,40,ID,1549324800,94,-0.92,100.36,75.2,1.12
289,Strezhevoy,24,RU,1549324800,73,60.73,77.6,-29.21,6.71
290,Portland,90,US,1549324860,78,45.52,-122.67,37.94,5.82
291,Praia da Vitoria,40,PT,1549321200,93,38.73,-27.07,60.8,14.92
292,Cockburn Town,0,TC,1549326732,99,21.46,-71.14,78.91,3.62
293,Pacific Grove,75,US,1549325400,70,36.62,-121.92,50,17.22
294,Saskylakh,56,RU,1549326733,75,71.97,114.09,-2.91,17.05
295,Makat,68,KZ,1549326733,83,47.65,53.35,13.79,3.18
296,Tezu,8,IN,1549326734,46,27.93,96.16,49.25,2.17
297,Camopi,48,GF,1549326734,93,3.17,-52.33,75.17,3.74
298,Ruwi,40,OM,1549324200,88,23.6,58.55,69.8,4.7
299,Kirkenaer,88,NO,1549326000,100,60.46,12.06,19.4,2.24
300,Sfantu Gheorghe,0,RO,1549323000,93,44.65,26.83,44.6,24.16
301,Kemi,90,FI,1549326000,84,65.74,24.56,1.4,5.82
302,Broome,0,GB,1549324560,89,52.47,1.45,35.6,4.7
303,Charagua,90,BO,1549321200,83,-19.79,-63.2,71.6,4.7
304,Hasaki,75,JP,1549324800,41,35.73,140.83,42.8,10.29
305,La Ronge,90,CA,1549321200,68,55.1,-105.3,-18.41,2.24
306,Gisborne,0,NZ,1549326737,59,-38.66,178.02,77.74,4.74
307,Kolokani,0,ML,1549326737,38,13.58,-8.03,68.29,9.22
308,Rio Grande,0,BR,1549326737,97,-32.03,-52.1,69.01,9.89
309,Mulchen,20,CL,1549326738,67,-37.72,-72.23,75.89,3.74
310,Key West,75,US,1549325700,83,47.93,-96.78,-5.08,19.46
311,Molo,12,KE,1549326739,84,-0.25,35.73,47.86,2.39
312,Sakaiminato,75,JP,1549324800,100,35.55,133.23,39.2,2.24
313,Bubaque,0,GW,1549326739,93,11.28,-15.83,79.4,12.46
314,Esperance,20,TT,1549324800,78,10.24,-61.45,78.8,8.05
315,Ballina,12,IE,1549326740,100,54.11,-9.15,32.38,9.89
316,Crystal Beach,90,CA,1549324800,58,42.87,-79.06,57.92,20.8
317,Macduff,20,GB,1549324200,98,57.67,-2.48,37.4,12.75
318,Florence,90,US,1549325700,89,34.8,-87.68,62.06,5.82
319,Amos,90,CA,1549322100,78,48.57,-78.12,12.2,16.11
320,Ulaanbaatar,12,MN,1549324800,60,47.92,106.92,-27.41,2.24
321,Sobolevo,32,RU,1549326742,93,54.43,31.9,26.57,15.26
322,Gap,76,FR,1549326646,100,44.56,6.08,22.93,2.84
323,Port Moresby,40,PG,1549324800,62,-9.47,147.16,89.6,17.22
324,Lodja,88,CD,1549326743,99,-3.52,23.6,71.71,2.51
325,Teeli,0,RU,1549326743,47,51.01,90.2,-33.1,1.39
326,Khatassy,0,RU,1549324800,73,61.91,129.64,-29.21,4.47
327,Kotelnich,88,RU,1549326744,78,58.31,48.34,-3.58,14.14
328,Jacksonville,1,US,1549325700,87,30.33,-81.66,59,3.96
329,Brownsville,40,US,1549325700,90,25.91,-97.49,75.38,12.75
330,Wanaka,88,NZ,1549326746,54,-44.7,169.14,65.54,7.43
331,Ugoofaaru,80,MV,1549326746,100,5.67,73,80.62,14.92
332,Palmas Bellas,0,PA,1549324800,61,9.23,-80.09,84.2,11.41
333,Palmer,20,AU,1549323000,49,-34.85,139.16,69.8,11.41
334,Abakaliki,20,NG,1549326747,92,6.32,8.11,76.52,8.77
335,Lata,80,IN,1549326747,71,30.78,78.62,33.73,2.39
336,Livingstonia,80,MW,1549326747,100,-10.61,34.11,71.35,3.18
337,Polunochnoye,56,RU,1549326748,79,60.87,60.43,-17.71,7.31
338,Vanimo,36,PG,1549326748,100,-2.67,141.3,80.75,10.89
339,Saldanha,20,PT,1549326748,80,41.42,-6.55,27.25,2.62
340,Krasnyy Chikoy,12,RU,1549326749,49,50.36,108.75,-31.98,2.28
341,Tananger,75,NO,1549326000,100,58.94,5.59,39.2,13.87
342,Chapais,90,CA,1549325040,84,49.78,-74.86,3.2,6.93
343,Cidreira,44,BR,1549326749,72,-30.17,-50.22,69.95,8.21
344,Harper,1,US,1549325700,72,30.3,-99.24,68.9,8.21
345,Te Anau,0,NZ,1549326750,73,-45.41,167.72,63.52,9.22
346,Villanueva,20,NI,1549321200,62,12.96,-86.82,89.6,4.7
347,Lorengau,68,PG,1549326751,98,-2.02,147.27,83.32,12.8
348,Buala,68,SB,1549326751,86,-8.15,159.59,85.3,9.78
349,San Cristobal,40,EC,1549324800,87,-0.39,-78.55,59,8.05
350,Kano,0,NG,1549324800,28,11.99,8.53,73.4,2.24
351,Tazovskiy,48,RU,1549326753,65,67.47,78.7,-7.77,5.64
352,Nemuro,20,JP,1549324800,52,43.32,145.57,17.6,13.87
353,Bereda,75,ES,1549324800,87,43.27,-7.54,51.8,6.93
354,Emilio Carranza,0,MX,1549326754,71,19.97,-96.61,77.02,3.62
355,Kampot,40,KH,1549324800,74,10.62,104.18,78.8,9.17
356,Progreso,0,UY,1549324800,60,-34.68,-56.22,68,5.82
357,Abu Samrah,0,SY,1549326755,64,35.3,37.18,43.09,10.11
358,Ayorou,0,NE,1549326755,26,14.73,0.92,65.77,8.88
359,Bambous Virieux,40,MU,1549324800,94,-20.34,57.76,80.6,8.99
360,Hohhot,0,CN,1549321200,65,40.81,111.65,6.8,6.71
361,Kloulklubed,75,PW,1549324200,88,7.04,134.26,78.8,8.05
362,Sisimiut,0,GL,1549326757,100,66.94,-53.67,-8.4,4.18
363,Ahipara,88,NZ,1549326757,90,-35.17,173.16,70.22,7.31
364,Forestville,90,CA,1549324800,67,48.74,-69.09,19.4,4.7
365,Hambantota,20,LK,1549325400,100,6.12,81.12,73.4,3.36
366,Ketchikan,90,US,1549324560,92,55.34,-131.65,28.04,4.7
367,Manggar,76,ID,1549326758,100,-2.88,108.27,78.37,5.64
368,Thunder Bay,90,CA,1549324800,70,48.41,-89.26,-2.21,8.05
369,Makakilo City,1,US,1549324620,46,21.35,-158.09,80.06,10.29
370,Lang Son,92,VN,1549326759,97,21.83,106.73,66.49,2.95
371,Nyurba,32,RU,1549326759,59,63.29,118.35,-20.5,6.76
372,Kaka,92,TM,1549326760,99,37.35,59.62,27.88,5.86
373,Nagapattinam,80,IN,1549326760,78,10.76,79.84,78.64,11.12
374,Milkovo,75,BG,1549324800,93,41.53,24.68,48.2,1.95
375,Mayor Pablo Lagerenza,0,PY,1549326761,78,-19.93,-60.77,78.64,9.22
